House_Age,Years_Since_Remod,Was_Remodeled,Garage_Age,Is_New_House,Total_Living_Area,Total_Area_Including_Garage,Basement_Ratio,Garage_Ratio,First_Second_Ratio,Area_Per_Room,Building_Density,Total_Full_Baths,Total_Half_Baths,Total_Bathrooms,Bath_Bedroom_Ratio,Has_Multiple_Baths,Total_Rooms_Baths,Has_Pool,Has_Fireplace,Has_Garage,Has_Basement,Has_Deck_Porch,Total_Outdoor_SF,Has_Large_Garage,Luxury_Score,Total_Quality_Score,Avg_Quality_Score,Is_High_Quality,Is_Excellent_Quality,Quality_Condition_Score,Is_Single_Family,Is_Two_Story,Is_One_Story,Is_Residential_Low_Density,Quality_x_Size,Premium_Neighborhood_x_Quality,New_x_Quality,Area_x_Bathrooms,Is_Normal_Sale,Is_Partial_Sale,Is_Abnormal_Sale,Is_Peak_Season
19,19,0,19.0,0,2674.0,3136.0,0.999252615844544,0.3452914798206278,1337.0,222.83333333333331,0.224668123004537,3.0,0.0,3.0,1.0,1,8.0,0,1,1,1,1,227,0,3,12.0,4.0,1,1,13,0,0,1,1,10696,8.0,0,4011.0,1,0,0,0
8,8,0,8.0,0,2820.0,3260.0,0.4385517593064763,0.2243753187149413,0.7811080835603996,217.77777777777777,0.249617931737137,3.0,1.0,3.5,0.7,1,11.5,0,1,1,1,1,336,0,3,12.0,4.0,0,0,11,1,1,0,1,11760,0.0,0,6860.0,1,0,0,1
37,37,0,37.0,0,1932.0,2196.0,0.4834996162701458,0.202609363008442,0.9361069836552748,186.0,0.7745389649018442,2.0,1.0,2.5,0.625,1,8.5,0,0,1,1,1,185,0,1,9.0,3.0,0,0,12,0,1,0,0,6510,0.0,0,3255.0,1,0,0,0
96,56,1,71.0,0,2837.0,3485.0,0.6115843270868825,0.3679727427597956,1.2576923076923077,220.0,0.1626767723449487,1.0,1.0,1.5,0.3,0,8.5,0,1,1,1,1,216,0,2,8.0,2.6666666666666665,0,0,8,1,0,1,1,7040,0.0,0,2640.0,0,0,1,0
3,2,1,3.0,0,3492.0,4250.0,0.9994275901545506,0.433886662850601,1746.0,218.25,0.1172362855032565,3.0,0.0,3.0,0.75,1,10.0,0,1,1,1,1,240,1,4,15.0,5.0,1,1,14,1,0,1,1,15714,0.0,0,5238.0,1,0,0,0
5,5,0,5.0,0,2589.0,3131.0,0.4971098265895953,0.3132947976878613,0.9885057471264368,216.125,0.2119132246598848,2.0,1.0,2.5,0.625,1,9.5,0,0,1,1,1,449,0,1,12.0,4.0,1,0,12,1,1,0,1,12103,0.0,0,4322.5,1,0,0,0
48,48,0,48.0,0,2232.0,2672.0,0.999104744852283,0.3939122649955237,1116.0,186.0,0.1115888411158884,1.0,1.0,1.5,0.375,0,6.5,0,0,1,1,1,385,0,1,9.0,3.0,0,0,12,1,0,1,1,6696,0.0,0,1674.0,1,0,0,0
81,57,1,81.0,0,1946.0,2126.0,0.972644376899696,0.182370820668693,986.0,164.33333333333334,0.159521113088497,1.0,0.0,1.0,0.3333333333333333,0,6.0,0,1,1,1,1,128,0,2,9.0,3.0,0,0,11,1,0,1,0,5916,0.0,0,986.0,1,0,0,1
39,6,1,39.0,0,1738.0,2090.0,0.9874285714285714,0.4022857142857143,874.0,145.66666666666666,0.1256830601092896,1.0,0.0,1.0,0.25,0,6.0,0,0,1,1,0,0,0,0,9.0,3.0,0,0,12,1,0,1,1,4370,0.0,0,874.0,1,0,0,1
1,1,0,1.0,1,2358.0,3034.0,0.4827152734129478,0.4248900062853551,0.9763975155279504,227.14285714285717,0.1766470392178646,2.0,1.0,2.5,0.625,1,8.5,0,0,1,1,1,30,0,1,12.0,4.0,1,1,13,1,1,0,0,12720,8.0,8,3975.0,1,0,0,1
