House_Age,Years_Since_Remod,Was_Remodeled,Garage_Age,Is_New_House,Total_Living_Area,Total_Area_Including_Garage,Basement_Ratio,Garage_Ratio,First_Second_Ratio,Area_Per_Room,Building_Density,Total_Full_Baths,Total_Half_Baths,Total_Bathrooms,Bath_Bedroom_Ratio,Has_Multiple_Baths,Total_Rooms_Baths,Has_Pool,Has_Fireplace,Has_Garage,Has_Basement,Has_Deck_Porch,Total_Outdoor_SF,Has_Large_Garage,Luxury_Score,Total_Quality_Score,Avg_Quality_Score,Is_High_Quality,Is_Excellent_Quality,Quality_Condition_Score,Is_Single_Family,Is_Two_Story,Is_One_Story,Is_Residential_Low_Density,Quality_x_Size,Premium_Neighborhood_x_Quality,New_x_Quality,Area_x_Bathrooms,Is_Normal_Sale,Is_Partial_Sale,Is_Abnormal_Sale,Is_Peak_Season,High_Value
50,50,0,50.0,0,2736.0,3264.0,0.651780325890163,0.31864815932407964,1656.0,207.0,0.052123005256365866,2.0,0.0,2.0,0.5,1,9.0,0,1,1,1,1,272,0,2,9.0,3.0,0,0,11,1,0,1,1,9936,0.0,0,3312.0,1,0,0,1,0
49,49,0,49.0,0,1778.0,2508.0,0.9832775919732442,0.8138238573021181,896.0,149.33333333333334,0.07708853136023402,1.0,0.0,1.0,0.3333333333333333,0,6.0,0,0,1,1,1,260,0,1,9.0,3.0,0,0,11,1,0,1,0,4480,0.0,0,896.0,1,0,0,1,0
52,52,0,52.0,0,2658.0,2970.0,0.9992481203007518,0.23458646616541354,1329.0,189.85714285714286,0.09314550042052144,1.0,1.0,1.5,0.375,0,7.5,0,0,1,1,1,429,0,1,10.0,3.3333333333333335,0,0,12,1,0,1,1,7974,0.0,0,1993.5,1,0,0,1,0
42,42,0,42.0,0,4220.0,4742.0,0.9995262908574135,0.2472761724301279,2110.0,234.44444444444446,0.18905116029029656,3.0,1.0,3.5,0.875,1,11.5,0,1,1,1,0,0,0,2,12.0,4.0,1,0,12,1,0,1,1,14770,0.0,0,7385.0,1,0,0,0,1
13,12,1,13.0,0,2557.0,3039.0,0.5693251533742332,0.29570552147239265,1.3219373219373218,232.71428571428572,0.1177789024654761,2.0,1.0,2.5,0.625,1,8.5,0,1,1,1,1,246,0,2,10.0,3.3333333333333335,0,0,10,1,1,0,1,8145,0.0,0,4072.5,1,0,0,0,0
12,12,0,12.0,0,2530.0,3000.0,0.5769470404984424,0.29283489096573206,1.3637702503681886,200.5,0.16073754885259045,2.0,1.0,2.5,0.625,1,9.5,0,1,1,1,1,396,0,2,10.0,3.3333333333333335,0,0,12,1,1,0,1,9624,0.0,0,4010.0,1,0,0,1,0
9,9,0,9.0,0,2676.0,3258.0,0.9992531740104555,0.4346527259148618,1338.0,191.14285714285714,0.27189595610648243,3.0,0.0,3.0,1.0,1,9.0,0,0,1,1,1,170,0,2,12.0,4.0,1,1,13,0,0,1,1,10704,8.0,0,4014.0,1,0,0,0,1
18,18,0,18.0,0,2560.0,3066.0,0.9992193598750976,0.3950039032006245,1280.0,213.33333333333334,0.2556931681981622,2.0,0.0,2.0,0.6666666666666666,1,7.0,0,0,1,1,1,226,0,1,12.0,4.0,1,1,13,0,0,1,1,10240,8.0,0,2560.0,1,0,0,0,1
15,14,1,15.0,0,3211.0,3819.0,0.9863945578231292,0.37600494743351887,1616.0,269.3333333333333,0.29981447124304267,3.0,0.0,3.0,1.0,1,8.0,0,1,1,1,1,389,0,3,12.0,4.0,1,1,13,0,0,1,1,12928,8.0,0,4848.0,1,0,0,0,1
11,11,0,11.0,0,2798.0,3240.0,0.5506925207756233,0.24487534626038782,1.3230373230373231,225.5,0.2405012664978003,2.0,1.0,2.5,0.625,1,9.5,0,1,1,1,1,200,0,2,10.0,3.3333333333333335,1,0,12,1,1,0,1,12628,0.0,0,4510.0,1,0,0,1,0
17,16,1,17.0,0,2418.0,2858.0,0.4607487922705314,0.26570048309178745,0.8544232922732363,206.875,0.16548345165483452,2.0,1.0,2.5,0.625,1,9.5,0,1,1,1,1,241,0,2,10.0,3.3333333333333335,0,0,11,1,1,0,1,9930,0.0,0,4137.5,1,0,0,0,0
18,3,1,18.0,0,2355.0,2775.0,0.9831649831649831,0.35353535353535354,1187.0,169.57142857142858,0.1487282295451698,3.0,0.0,3.0,0.75,1,9.0,0,0,1,1,1,504,0,2,10.0,3.3333333333333335,0,0,13,1,0,1,1,7122,0.0,0,3561.0,1,0,0,0,0
12,12,0,12.0,0,2254.0,2647.0,0.5381991814461119,0.2680763983628922,1.1654357459379616,183.125,0.17434249672735927,2.0,1.0,2.5,0.625,1,9.5,0,1,1,1,1,75,0,2,10.0,3.3333333333333335,0,0,11,1,1,0,1,8790,0.0,0,3662.5,1,0,0,1,0
20,20,0,20.0,0,2641.0,3147.0,0.9687034277198212,0.3770491803278688,1341.0,223.5,0.13176771150633781,2.0,1.0,2.5,0.8333333333333334,1,7.5,0,1,1,1,1,192,0,2,11.0,3.6666666666666665,1,0,12,1,0,1,1,9387,0.0,0,3352.5,1,0,0,0,0
25,25,0,25.0,0,2990.0,3518.0,0.9900199600798403,0.35129740518962077,1502.0,300.4,0.22020231637589796,2.0,1.0,2.5,1.25,1,6.5,0,0,1,1,1,194,0,1,12.0,4.0,1,1,13,0,0,1,1,12016,8.0,0,3755.0,1,0,0,1,1
7,7,0,7.0,0,4929.0,5770.0,0.5030487804878049,0.25640243902439025,1.0628930817610063,252.23076923076923,0.06128399215026633,4.0,1.0,4.5,0.9,1,16.5,0,1,1,1,1,749,1,4,14.0,4.666666666666667,1,1,13,1,1,0,1,26232,8.0,0,14755.5,1,0,0,1,1
22,5,1,22.0,0,2311.0,2803.0,0.31888191671420424,0.28066172276098117,1.6047548291233285,194.66666666666666,0.14437577255871445,2.0,0.0,2.0,0.4,1,10.0,0,0,1,1,1,337,0,1,11.0,3.6666666666666665,1,1,15,1,0,1,1,14016,0.0,0,3504.0,1,0,0,1,1
0,0,0,0.0,1,3712.0,4546.0,0.9994614970382337,0.4491114701130856,1856.0,206.22222222222223,0.16287845546292234,2.0,1.0,2.5,1.25,1,10.5,0,1,1,1,1,113,1,3,14.0,4.666666666666667,1,1,11,1,0,1,1,16704,9.0,9,4640.0,0,1,0,1,1
